product_service_code,product_service_description
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL
B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL
B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING
